carrier,node,time_operation,none
heat,CH,5,0.0
heat,CH,6,0.0
heat,CH,7,0.0
heat,CH,8,0.0
heat,CH,9,0.0
heat,CH,10,0.0
heat,CH,11,0.0
heat,CH,12,0.0
heat,CH,13,0.0
heat,CH,14,0.0
heat,CZ,0,0.0
heat,CZ,1,0.0
heat,CZ,2,0.0
heat,CZ,3,0.0
heat,CZ,4,0.0
heat,CZ,5,0.0
heat,CZ,6,0.0
heat,CZ,7,0.0
heat,CZ,8,0.0
heat,CZ,9,0.0
heat,CZ,10,0.0
heat,CZ,11,0.0
heat,CZ,12,0.0
heat,CZ,13,0.0
heat,CZ,14,0.0
heat,DE,0,0.0
heat,DE,1,0.0
heat,DE,2,0.0
heat,DE,3,0.0
heat,DE,4,0.0
heat,DE,5,0.0
heat,DE,6,0.0
heat,DE,7,0.0
heat,DE,8,0.0
heat,DE,9,0.0
heat,DE,10,0.0
heat,DE,11,0.0
heat,DE,12,0.0
heat,DE,13,0.0
heat,DE,14,0.0
heat,DK,0,0.0
heat,DK,1,0.0
heat,DK,2,0.0
heat,DK,3,0.0
heat,DK,4,0.0
heat,DK,5,0.0
heat,DK,6,0.0
heat,DK,7,0.0
heat,DK,8,0.0
heat,DK,9,0.0
heat,DK,10,0.0
heat,DK,11,0.0
heat,DK,12,0.0
heat,DK,13,0.0
heat,DK,14,0.0
heat,EE,0,0.0
heat,EE,1,0.0
heat,EE,2,0.0
heat,EE,3,0.0
heat,EE,4,0.0
heat,EE,5,0.0
heat,EE,6,0.0
heat,EE,7,0.0
heat,EE,8,0.0
heat,EE,9,0.0
heat,EE,10,0.0
heat,EE,11,0.0
heat,EE,12,0.0
heat,EE,13,0.0
heat,EE,14,0.0
heat,EL,0,0.0
heat,EL,1,0.0
heat,EL,2,0.0
heat,EL,3,0.0
heat,EL,4,0.0
heat,EL,5,0.0
heat,EL,6,0.0
heat,EL,7,0.0
heat,EL,8,0.0
heat,EL,9,0.0
heat,EL,10,0.0
heat,EL,11,0.0
heat,EL,12,0.0
heat,EL,13,0.0
heat,EL,14,0.0
heat,ES,0,0.0
heat,ES,1,0.0
heat,ES,2,0.0
heat,ES,3,0.0
heat,ES,4,0.0
heat,ES,5,0.0
heat,ES,6,0.0
heat,ES,7,0.0
heat,ES,8,0.0
heat,ES,9,0.0
heat,ES,10,0.0
heat,ES,11,0.0
heat,ES,12,0.0
heat,ES,13,0.0
heat,ES,14,0.0
heat,FI,0,0.0
heat,FI,1,0.0
heat,FI,2,0.0
heat,FI,3,0.0
heat,FI,4,0.0
heat,FI,5,0.0
heat,FI,6,0.0
heat,FI,7,0.0
heat,FI,8,0.0
heat,FI,9,0.0
heat,FI,10,0.0
heat,FI,11,0.0
heat,FI,12,0.0
heat,FI,13,0.0
heat,FI,14,0.0
heat,FR,0,0.0
heat,FR,1,0.0
heat,FR,2,0.0
heat,FR,3,0.0
heat,FR,4,0.0
heat,FR,5,0.0
heat,FR,6,0.0
heat,FR,7,0.0
heat,FR,8,0.0
heat,FR,9,0.0
heat,FR,10,0.0
heat,FR,11,0.0
heat,FR,12,0.0
heat,FR,13,0.0
heat,FR,14,0.0
heat,HR,0,0.0
heat,HR,1,0.0
heat,HR,2,0.0
heat,HR,3,0.0
heat,HR,4,0.0
heat,HR,5,0.0
heat,HR,6,0.0
heat,HR,7,0.0
heat,HR,8,0.0
heat,HR,9,0.0
heat,HR,10,0.0
heat,HR,11,0.0
heat,HR,12,0.0
heat,HR,13,0.0
heat,HR,14,0.0
heat,HU,0,0.0
heat,HU,1,0.0
heat,HU,2,0.0
heat,HU,3,0.0
heat,HU,4,0.0
heat,HU,5,0.0
heat,HU,6,0.0
heat,HU,7,0.0
heat,HU,8,0.0
heat,HU,9,0.0
heat,HU,10,0.0
heat,HU,11,0.0
heat,HU,12,0.0
heat,HU,13,0.0
heat,HU,14,0.0
heat,IE,0,0.0
heat,IE,1,0.0
heat,IE,2,0.0
heat,IE,3,0.0
heat,IE,4,0.0
heat,IE,5,0.0
heat,IE,6,0.0
heat,IE,7,0.0
heat,IE,8,0.0
heat,IE,9,0.0
heat,IE,10,0.0
heat,IE,11,0.0
heat,IE,12,0.0
heat,IE,13,0.0
heat,IE,14,0.0
heat,IT,0,0.0
heat,IT,1,0.0
heat,IT,2,0.0
heat,IT,3,0.0
heat,IT,4,0.0
heat,IT,5,0.0
heat,IT,6,0.0
heat,IT,7,0.0
heat,IT,8,0.0
heat,IT,9,0.0
heat,IT,10,0.0
heat,IT,11,0.0
heat,IT,12,0.0
heat,IT,13,0.0
heat,IT,14,0.0
heat,LT,0,0.0
heat,LT,1,0.0
heat,LT,2,0.0
heat,LT,3,0.0
heat,LT,4,0.0
heat,LT,5,0.0
heat,LT,6,0.0
