technology,capacity_type,location,year,none
biomass_boiler,power,BE,8,1.68042230871071e-07
biomass_boiler,power,BE,9,2.1033240755381261e-07
biomass_boiler,power,BE,10,2.4990435089799086e-07
biomass_boiler,power,BE,11,2.965001896985819e-07
biomass_boiler,power,BE,12,3.5373577587994734e-07
biomass_boiler,power,BE,13,4.374942995250704e-07
biomass_boiler,power,BE,14,6.329080089072197e-07
biomass_boiler,power,BG,0,3.436625840946345
biomass_boiler,power,BG,1,3.1681673572920035
biomass_boiler,power,BG,2,3.082876731092658
biomass_boiler,power,BG,3,2.829558139326089
biomass_boiler,power,BG,4,2.7551486596615913
biomass_boiler,power,BG,5,2.459889446126175
biomass_boiler,power,BG,6,2.369135089424057
biomass_boiler,power,BG,7,2.1008807670595266
biomass_boiler,power,BG,8,1.2541381085194294
biomass_boiler,power,BG,9,0.2976943512021637
biomass_boiler,power,BG,10,0.29769437228677736
biomass_boiler,power,BG,11,0.29769439738787706
biomass_boiler,power,BG,12,0.2976944349110793
biomass_boiler,power,BG,13,0.29769450502066347
biomass_boiler,power,BG,14,0.2976947530305269
biomass_boiler,power,CH,0,6.869180113009345
biomass_boiler,power,CH,1,5.946031164831436
biomass_boiler,power,CH,2,3.675270238363485
biomass_boiler,power,CH,3,2.2704719441266974
biomass_boiler,power,CH,4,0.9615243772615991
biomass_boiler,power,CH,5,0.3320689092517131
biomass_boiler,power,CH,6,0.2668678495550715
biomass_boiler,power,CH,7,0.08870015643174066
biomass_boiler,power,CH,8,0.08870019920610978
biomass_boiler,power,CH,9,1.8158935614513877e-07
biomass_boiler,power,CH,10,2.4908009929964097e-07
biomass_boiler,power,CH,11,3.07999734310431e-07
biomass_boiler,power,CH,12,3.912607335427903e-07
biomass_boiler,power,CH,13,5.143417307441712e-07
biomass_boiler,power,CH,14,7.922803267170876e-07
biomass_boiler,power,CZ,0,6.363333811179451
biomass_boiler,power,CZ,1,5.73686570770068
biomass_boiler,power,CZ,2,5.005542699139283
biomass_boiler,power,CZ,3,4.445439824604231
biomass_boiler,power,CZ,4,3.7495261009522287
biomass_boiler,power,CZ,5,2.64908444846287
biomass_boiler,power,CZ,6,1.9834894468929838
biomass_boiler,power,CZ,7,1.6505070993771793
biomass_boiler,power,CZ,8,0.6861870930309779
biomass_boiler,power,CZ,9,0.2748285247305802
biomass_boiler,power,CZ,10,0.2748285429781611
biomass_boiler,power,CZ,11,0.2748285657708064
biomass_boiler,power,CZ,12,0.27482859676000143
biomass_boiler,power,CZ,13,0.27482864863021167
biomass_boiler,power,CZ,14,0.27482880236242874
biomass_boiler,power,DE,0,23.15749439632317
biomass_boiler,power,DE,1,22.189219534596795
biomass_boiler,power,DE,2,15.854373477143398
biomass_boiler,power,DE,3,14.60968009306642
biomass_boiler,power,DE,4,11.332771332545416
biomass_boiler,power,DE,5,8.65056968066297
biomass_boiler,power,DE,6,8.650569687050691
biomass_boiler,power,DE,7,4.591445487213662
biomass_boiler,power,DE,8,1.5124926774704324
biomass_boiler,power,DE,9,0.5202313486292677
biomass_boiler,power,DE,10,0.5202313632341526
biomass_boiler,power,DE,11,0.5202313867687818
biomass_boiler,power,DE,12,0.5202314214894171
biomass_boiler,power,DE,13,0.5202314826595086
biomass_boiler,power,DE,14,0.5202316367401568
biomass_boiler,power,DK,0,3.0111717771344924
biomass_boiler,power,DK,1,2.499789328826639
biomass_boiler,power,DK,2,1.627739989979172
biomass_boiler,power,DK,3,1.5927495236490918
biomass_boiler,power,DK,4,1.5165588988125915
biomass_boiler,power,DK,5,1.313610303983808
biomass_boiler,power,DK,6,0.816083447391712
biomass_boiler,power,DK,7,0.5650399180306187
biomass_boiler,power,DK,8,0.5103953915462988
biomass_boiler,power,DK,9,0.09766948805030548
biomass_boiler,power,DK,10,0.0976694962938558
biomass_boiler,power,DK,11,0.0976695079088509
biomass_boiler,power,DK,12,0.09766952584420514
biomass_boiler,power,DK,13,0.09766955894716604
biomass_boiler,power,DK,14,0.09766966909443307
biomass_boiler,power,EE,0,1.202508791461472
biomass_boiler,power,EE,1,1.2025087943478474
biomass_boiler,power,EE,2,0.965887118648071
biomass_boiler,power,EE,3,0.8736761389727512
biomass_boiler,power,EE,4,0.8736761433319923
biomass_boiler,power,EE,5,0.7993274328157834
biomass_boiler,power,EE,6,0.27363416996788414
biomass_boiler,power,EE,7,0.10412026137324415
biomass_boiler,power,EE,8,0.09711135104590367
biomass_boiler,power,EE,9,7.413941891813389e-08
biomass_boiler,power,EE,10,9.509502006180255e-08
biomass_boiler,power,EE,11,1.1964253666036385e-07
biomass_boiler,power,EE,12,1.5305192968234922e-07
biomass_boiler,power,EE,13,2.0820768430786582e-07
biomass_boiler,power,EE,14,4.0114422180889594e-07
biomass_boiler,power,EL,0,3.320676166701056
biomass_boiler,power,EL,1,3.3206761697785923
biomass_boiler,power,EL,2,3.3206761733687826
biomass_boiler,power,EL,3,3.320676177504802
biomass_boiler,power,EL,4,2.6065128021054766
biomass_boiler,power,EL,5,0.26861136241905836
biomass_boiler,power,EL,6,0.2686113702834062
biomass_boiler,power,EL,7,0.26861138137220897
biomass_boiler,power,EL,8,6.077445351838966e-08
biomass_boiler,power,EL,9,7.931176801776856e-08
biomass_boiler,power,EL,10,9.775140628915614e-08
biomass_boiler,power,EL,11,1.2048139212629902e-07
biomass_boiler,power,EL,12,1.517242431963591e-07
biomass_boiler,power,EL,13,2.043782533178113e-07
biomass_boiler,power,EL,14,3.8981995706722253e-07
biomass_boiler,power,ES,0,4.149006674494808
biomass_boiler,power,ES,1,3.85531027333689
biomass_boiler,power,ES,2,3.257026332839585
biomass_boiler,power,ES,3,1.7829531344341167
biomass_boiler,power,ES,4,1.145296485184162
biomass_boiler,power,ES,5,0.5600408878952878
biomass_boiler,power,ES,6,0.24459132929245334
biomass_boiler,power,ES,7,0.24459133962495447
biomass_boiler,power,ES,8,0.032621620394734444
biomass_boiler,power,ES,9,8.448393457748993e-08
biomass_boiler,power,ES,10,1.078258355993225e-07
biomass_boiler,power,ES,11,1.348936430517316e-07
biomass_boiler,power,ES,12,1.7008332713307141e-07
biomass_boiler,power,ES,13,2.2720393767513493e-07
biomass_boiler,power,ES,14,4.107026588236413e-07
biomass_boiler,power,FI,0,2.8164873873707243
biomass_boiler,power,FI,1,2.2641856917772922
biomass_boiler,power,FI,2,1.8824258925152706
biomass_boiler,power,FI,3,1.2207266822507028
