technology,capacity_type,location,year,none,
biomass_boiler,power,CH,3,2.270471944,2.27E+06
biomass_boiler,power,CH,4,0.961524377,9.62E+05
biomass_boiler,power,CH,5,0.332068909,3.32E+05
biomass_boiler,power,CH,6,0.26686785,2.67E+05
biomass_boiler,power,CH,7,0.088700156,8.87E+04
biomass_boiler,power,CH,8,0.088700199,8.87E+04
biomass_boiler,power,CH,9,1.82E-07,1.82E-01
biomass_boiler,power,CH,10,2.49E-07,2.49E-01
biomass_boiler,power,CH,11,3.08E-07,3.08E-01
biomass_boiler,power,CH,12,3.91E-07,3.91E-01
biomass_boiler,power,CH,13,5.14E-07,5.14E-01
biomass_boiler,power,CH,14,7.92E-07,7.92E-01
biomass_boiler,power,CZ,0,6.363333811,6.36E+06
biomass_boiler,power,CZ,1,5.736865708,5.74E+06
biomass_boiler,power,CZ,2,5.005542699,5.01E+06
biomass_boiler,power,CZ,3,4.445439825,4.45E+06
biomass_boiler,power,CZ,4,3.749526101,3.75E+06
biomass_boiler,power,CZ,5,2.649084448,2.65E+06
biomass_boiler,power,CZ,6,1.983489447,1.98E+06
biomass_boiler,power,CZ,7,1.650507099,1.65E+06
biomass_boiler,power,CZ,8,0.686187093,6.86E+05
biomass_boiler,power,CZ,9,0.274828525,2.75E+05
biomass_boiler,power,CZ,10,0.274828543,2.75E+05
biomass_boiler,power,CZ,11,0.274828566,2.75E+05
biomass_boiler,power,CZ,12,0.274828597,2.75E+05
biomass_boiler,power,CZ,13,0.274828649,2.75E+05
biomass_boiler,power,CZ,14,0.274828802,2.75E+05
biomass_boiler,power,DE,0,23.1574944,2.32E+07
biomass_boiler,power,DE,1,22.18921953,2.22E+07
biomass_boiler,power,DE,2,15.85437348,1.59E+07
biomass_boiler,power,DE,3,14.60968009,1.46E+07
biomass_boiler,power,DE,4,11.33277133,1.13E+07
biomass_boiler,power,DE,5,8.650569681,8.65E+06
biomass_boiler,power,DE,6,8.650569687,8.65E+06
biomass_boiler,power,DE,7,4.591445487,4.59E+06
biomass_boiler,power,DE,8,1.512492677,1.51E+06
biomass_boiler,power,DE,9,0.520231349,5.20E+05
biomass_boiler,power,DE,10,0.520231363,5.20E+05
biomass_boiler,power,DE,11,0.520231387,5.20E+05
biomass_boiler,power,DE,12,0.520231421,5.20E+05
biomass_boiler,power,DE,13,0.520231483,5.20E+05
biomass_boiler,power,DE,14,0.520231637,5.20E+05
biomass_boiler,power,DK,0,3.011171777,3.01E+06
biomass_boiler,power,DK,1,2.499789329,2.50E+06
biomass_boiler,power,DK,2,1.62773999,1.63E+06
biomass_boiler,power,DK,3,1.592749524,1.59E+06
biomass_boiler,power,DK,4,1.516558899,1.52E+06
biomass_boiler,power,DK,5,1.313610304,1.31E+06
biomass_boiler,power,DK,6,0.816083447,8.16E+05
biomass_boiler,power,DK,7,0.565039918,5.65E+05
biomass_boiler,power,DK,8,0.510395392,5.10E+05
biomass_boiler,power,DK,9,0.097669488,9.77E+04
biomass_boiler,power,DK,10,0.097669496,9.77E+04
biomass_boiler,power,DK,11,0.097669508,9.77E+04
biomass_boiler,power,DK,12,0.097669526,9.77E+04
biomass_boiler,power,DK,13,0.097669559,9.77E+04
biomass_boiler,power,DK,14,0.097669669,9.77E+04
biomass_boiler,power,EE,0,1.202508791,1.20E+06
biomass_boiler,power,EE,1,1.202508794,1.20E+06
biomass_boiler,power,EE,2,0.965887119,9.66E+05
biomass_boiler,power,EE,3,0.873676139,8.74E+05
biomass_boiler,power,EE,4,0.873676143,8.74E+05
biomass_boiler,power,EE,5,0.799327433,7.99E+05
biomass_boiler,power,EE,6,0.27363417,2.74E+05
biomass_boiler,power,EE,7,0.104120261,1.04E+05
biomass_boiler,power,EE,8,0.097111351,9.71E+04
biomass_boiler,power,EE,9,7.41E-08,7.41E-02
biomass_boiler,power,EE,10,9.51E-08,9.51E-02
biomass_boiler,power,EE,11,1.20E-07,1.20E-01
biomass_boiler,power,EE,12,1.53E-07,1.53E-01
biomass_boiler,power,EE,13,2.08E-07,2.08E-01
biomass_boiler,power,EE,14,4.01E-07,4.01E-01
