technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
biomass_plant,power,FR,0.77219,0.77219,0.77219,0.759190001,0.752910001,0.709280001,0.683490002,0.607790002,0.547490003,0.506560003,0.393160004,0.255440005,0.049250008,1.29E-08,2.88E-08
biomass_plant,power,HR,0.019,0.019,0.019,0.019000001,0.019000001,0.019000001,0.017000002,0.017000002,0.017000003,0.017000003,0.015000004,0.015000005,0.013000008,1.24E-08,2.76E-08
biomass_plant,power,HU,0.2505,0.2505,0.2505,0.250500001,0.250500001,0.210500001,0.128600002,0.128600002,0.046300003,0.037100004,0.000900005,7.28E-09,1.02E-08,1.49E-08,3.02E-08
biomass_plant,power,IE,0.02761,0.02761,0.012810001,0.012810001,0.008550001,0.008550002,0.003000002,0.003000003,4.12E-09,5.42E-09,6.94E-09,8.83E-09,1.15E-08,1.58E-08,3.03E-08
biomass_plant,power,IT,0.481,0.481,0.481,0.463000001,0.436000001,0.265700001,0.206700002,0.206700002,0.084900003,0.071400003,0.048700004,0.043700006,8.88E-09,1.35E-08,2.83E-08
biomass_plant,power,LT,0.0214,0.0214,0.0214,0.021400001,0.021400001,0.021400001,0.021400002,0.021400002,0.021400003,0.021400004,0.016000005,6.93E-09,9.68E-09,1.42E-08,2.88E-08
biomass_plant,power,LU,9.17E-10,1.44E-09,1.92E-09,2.43E-09,2.98E-09,3.60E-09,4.30E-09,5.12E-09,6.07E-09,7.20E-09,8.60E-09,1.04E-08,1.30E-08,1.74E-08,3.18E-08
biomass_plant,power,LV,0.0314,0.0314,0.0314,0.031400001,0.031400001,0.031400001,0.031400002,0.031400002,0.031400003,0.031400004,5.62E-09,7.57E-09,1.02E-08,1.46E-08,2.91E-08
biomass_plant,power,NL,0.703906,0.703906,0.703906,0.678906001,0.677406001,0.677406001,0.616600002,0.611700002,0.551900003,0.549900003,0.139900004,0.040000005,0.040000008,1.24E-08,2.75E-08
biomass_plant,power,NO,8.49E-10,1.35E-09,1.82E-09,2.30E-09,2.81E-09,3.38E-09,4.02E-09,4.76E-09,5.63E-09,6.67E-09,7.98E-09,9.70E-09,1.22E-08,1.64E-08,3.04E-08
biomass_plant,power,PL,0.582591,0.582591,0.582591,0.582391001,0.582291001,0.450931001,0.448131002,0.428321002,0.420225003,0.398400004,0.025000005,6.96E-09,9.72E-09,1.42E-08,2.89E-08
biomass_plant,power,PT,0.1151,0.1151,0.1151,0.115100001,0.115100001,0.113000001,0.113000002,0.100200002,0.047000003,0.034500003,0.034500004,0.034500005,0.034500008,1.25E-08,2.80E-08
biomass_plant,power,RO,0.015,0.015,0.015,0.015000001,0.015000001,0.015000001,0.015000002,0.015000002,0.015000003,0.015000004,0.015000005,7.34E-09,1.03E-08,1.52E-08,3.12E-08
biomass_plant,power,SE,0.8255,0.764,0.687,0.664000001,0.664000001,0.602200001,0.468700002,0.458300002,0.338300003,0.318300004,0.223900005,6.93E-09,9.68E-09,1.42E-08,2.88E-08
biomass_plant,power,SI,8.58E-10,1.38E-09,1.85E-09,2.33E-09,2.85E-09,3.43E-09,4.07E-09,4.82E-09,5.69E-09,6.75E-09,8.08E-09,9.80E-09,1.23E-08,1.65E-08,3.07E-08
biomass_plant,power,SK,9.20E-10,1.44E-09,1.93E-09,2.44E-09,2.99E-09,3.60E-09,4.30E-09,5.09E-09,6.02E-09,7.13E-09,8.51E-09,1.03E-08,1.28E-08,1.72E-08,3.17E-08
biomass_plant,power,UK,5.5613,5.55654,5.47297,5.240640001,4.995510001,4.789040001,4.590420002,4.325520002,4.220290002,4.156780003,3.306270004,2.263070005,1.301600008,1.23E-08,2.74E-08
biomass_plant_CCS,power,AT,7.60E-10,1.21E-09,1.64E-09,2.12E-09,2.68E-09,3.35E-09,4.22E-09,5.41E-09,7.04E-09,8.96E-09,1.13E-08,1.36E-08,1.81E-08,1.89E-07,0.541567458
biomass_plant_CCS,power,BE,7.82E-10,1.25E-09,1.71E-09,2.23E-09,2.85E-09,3.57E-09,4.54E-09,5.95E-09,7.85E-09,1.00E-08,1.25E-08,1.49E-08,1.96E-08,0.6792833,0.679283472
biomass_plant_CCS,power,BG,7.39E-10,1.21E-09,1.66E-09,2.16E-09,2.73E-09,3.41E-09,4.26E-09,5.41E-09,6.82E-09,8.48E-09,1.05E-08,1.25E-08,1.63E-08,4.93E-08,0.194594125
biomass_plant_CCS,power,CH,7.31E-10,1.19E-09,1.64E-09,2.12E-09,2.69E-09,3.38E-09,4.28E-09,5.54E-09,7.30E-09,9.28E-09,1.16E-08,1.39E-08,1.84E-08,1.68E-07,0.535453908
biomass_plant_CCS,power,CZ,7.55E-10,1.20E-09,1.63E-09,2.09E-09,2.63E-09,3.27E-09,4.08E-09,5.16E-09,6.54E-09,8.10E-09,9.92E-09,1.18E-08,1.51E-08,2.89E-08,1.15E-07
biomass_plant_CCS,power,DE,7.27E-10,1.15E-09,1.54E-09,1.96E-09,2.44E-09,2.97E-09,3.61E-09,4.40E-09,5.38E-09,6.64E-09,8.36E-09,1.07E-08,1.51E-08,1.75E-07,1.51790656
biomass_plant_CCS,power,DK,6.91E-10,1.10E-09,1.49E-09,1.89E-09,2.34E-09,2.84E-09,3.42E-09,4.10E-09,4.93E-09,5.91E-09,7.13E-09,8.63E-09,1.09E-08,1.54E-08,3.60E-08
biomass_plant_CCS,power,EE,6.83E-10,1.09E-09,1.47E-09,1.87E-09,2.31E-09,2.81E-09,3.38E-09,4.06E-09,4.87E-09,5.84E-09,7.03E-09,8.51E-09,1.07E-08,1.49E-08,3.21E-08
biomass_plant_CCS,power,EL,6.81E-10,1.10E-09,1.48E-09,1.88E-09,2.32E-09,2.81E-09,3.38E-09,4.06E-09,4.86E-09,5.82E-09,7.00E-09,8.46E-09,1.06E-08,1.47E-08,2.89E-08
biomass_plant_CCS,power,ES,7.37E-10,1.15E-09,1.55E-09,1.97E-09,2.44E-09,2.97E-09,3.59E-09,4.34E-09,5.26E-09,6.38E-09,7.75E-09,9.36E-09,1.19E-08,1.74E-08,3.96E-08
biomass_plant_CCS,power,FI,6.93E-10,1.11E-09,1.49E-09,1.90E-09,2.35E-09,2.85E-09,3.44E-09,4.13E-09,4.97E-09,5.97E-09,7.20E-09,8.72E-09,1.10E-08,1.57E-08,3.81E-08
biomass_plant_CCS,power,FR,7.66E-10,1.22E-09,1.66E-09,2.15E-09,2.72E-09,3.43E-09,4.35E-09,5.70E-09,7.66E-09,9.84E-09,1.24E-08,1.48E-08,1.94E-08,0.627733133,4.136200204
biomass_plant_CCS,power,HR,7.08E-10,1.14E-09,1.54E-09,1.96E-09,2.42E-09,2.95E-09,3.57E-09,4.32E-09,5.23E-09,6.32E-09,7.66E-09,9.23E-09,1.17E-08,1.68E-08,3.62E-08
