technology,capacity_type,location,year,none
DAC,power,SI,4,1.4211971642216918e-09
DAC,power,SI,5,1.7772176909563565e-09
DAC,power,SI,6,2.201220186595335e-09
DAC,power,SI,7,2.7246563717716506e-09
DAC,power,SI,8,3.374245741306555e-09
DAC,power,SI,9,4.1815180622169225e-09
DAC,power,SI,10,4.814360385333177e-09
DAC,power,SI,11,5.827004837723886e-09
DAC,power,SI,12,7.480190781288296e-09
DAC,power,SI,13,1.1426545767513526e-08
DAC,power,SI,14,2.8423067803549747e-08
DAC,power,SK,0,3.6342882338812737e-10
DAC,power,SK,1,6.020614476707948e-10
DAC,power,SK,2,8.383204737599456e-10
DAC,power,SK,3,1.0986163264253546e-09
DAC,power,SK,4,1.3981778641100944e-09
DAC,power,SK,5,1.7153741273295283e-09
DAC,power,SK,6,2.0823438789633305e-09
DAC,power,SK,7,2.5191321075982268e-09
DAC,power,SK,8,3.0419541986964046e-09
DAC,power,SK,9,3.697619035527066e-09
DAC,power,SK,10,4.158501845946991e-09
DAC,power,SK,11,4.964390137324921e-09
DAC,power,SK,12,6.229696705748667e-09
DAC,power,SK,13,8.639775671212964e-09
DAC,power,SK,14,1.7707204005714465e-08
DAC,power,UK,0,3.7117585073681276e-10
DAC,power,UK,1,6.114222386890233e-10
DAC,power,UK,2,8.493090643824797e-10
DAC,power,UK,3,1.1152164196297742e-09
DAC,power,UK,4,1.4491174318875778e-09
DAC,power,UK,5,1.828132202968505e-09
DAC,power,UK,6,2.28696127482668e-09
DAC,power,UK,7,2.8667470181010905e-09
DAC,power,UK,8,3.6052962230483405e-09
DAC,power,UK,9,4.542882345142951e-09
DAC,power,UK,10,5.345869295368578e-09
DAC,power,UK,11,6.484354719791528e-09
DAC,power,UK,12,8.49826983609345e-09
DAC,power,UK,13,1.494843369369711e-08
DAC,power,UK,14,7.619462800669426e-08
biomass_boiler,power,AT,0,5.06982944485425
biomass_boiler,power,AT,1,4.388495187881166
biomass_boiler,power,AT,2,2.7125498160202475
biomass_boiler,power,AT,3,1.6757320805311349
biomass_boiler,power,AT,4,0.7096574073445373
biomass_boiler,power,AT,5,0.24508494958648092
biomass_boiler,power,AT,6,0.19696300802053968
biomass_boiler,power,AT,7,0.06546552814773335
biomass_boiler,power,AT,8,0.06546554438876781
biomass_boiler,power,AT,9,6.437471956356536e-08
biomass_boiler,power,AT,10,8.588497577315242e-08
biomass_boiler,power,AT,11,1.0758969613871335e-07
biomass_boiler,power,AT,12,1.3586902785230457e-07
biomass_boiler,power,AT,13,1.7818904997255555e-07
biomass_boiler,power,AT,14,2.7711219862664827e-07
biomass_boiler,power,BE,0,1.8648418294434983
biomass_boiler,power,BE,1,1.864841830946087
biomass_boiler,power,BE,2,1.2457969075883457
biomass_boiler,power,BE,3,1.0861156991948533
biomass_boiler,power,BE,4,0.6246343663238978
biomass_boiler,power,BE,5,0.24584556310577022
biomass_boiler,power,BE,6,0.17507695779824828
biomass_boiler,power,BE,7,4.338962614536159e-08
biomass_boiler,power,BE,8,5.990888025164306e-08
biomass_boiler,power,BE,9,7.512488627913802e-08
biomass_boiler,power,BE,10,8.92595477246974e-08
biomass_boiler,power,BE,11,1.057979969550296e-07
biomass_boiler,power,BE,12,1.262665851424507e-07
biomass_boiler,power,BE,13,1.5620922291027458e-07
biomass_boiler,power,BE,14,2.2631470059699308e-07
biomass_boiler,power,BG,0,3.4366258393553757
biomass_boiler,power,BG,1,3.1681673538880584
biomass_boiler,power,BG,2,3.0828767256040264
biomass_boiler,power,BG,3,2.8295581314623535
biomass_boiler,power,BG,4,2.755148649060367
biomass_boiler,power,BG,5,2.459889432163097
biomass_boiler,power,BG,6,2.3691350711121806
biomass_boiler,power,BG,7,2.1008807428561225
biomass_boiler,power,BG,8,1.2541380756096219
biomass_boiler,power,BG,9,0.29769430503577105
biomass_boiler,power,BG,10,0.2976943125875864
biomass_boiler,power,BG,11,0.2976943215657059
biomass_boiler,power,BG,12,0.297694334996707
biomass_boiler,power,BG,13,0.29769436034148
biomass_boiler,power,BG,14,0.29769444678249457
biomass_boiler,power,CH,0,6.86918011124528
biomass_boiler,power,CH,1,5.946031161005999
biomass_boiler,power,CH,2,3.675270232056035
biomass_boiler,power,CH,3,2.270471934767494
biomass_boiler,power,CH,4,0.9615243640408102
biomass_boiler,power,CH,5,0.33206889069167017
biomass_boiler,power,CH,6,0.2668678230366052
biomass_boiler,power,CH,7,0.08870011550153878
biomass_boiler,power,CH,8,0.08870013096681761
biomass_boiler,power,CH,9,6.473795685532772e-08
biomass_boiler,power,CH,10,8.828333954973374e-08
biomass_boiler,power,CH,11,1.0921838244098372e-07
biomass_boiler,power,CH,12,1.389043561606166e-07
biomass_boiler,power,CH,13,1.8292753205758488e-07
biomass_boiler,power,CH,14,2.8160117018997773e-07
biomass_boiler,power,CZ,0,6.36333380899162
biomass_boiler,power,CZ,1,5.736865703370171
biomass_boiler,power,CZ,2,5.005542692344275
biomass_boiler,power,CZ,3,4.445439814921088
biomass_boiler,power,CZ,4,3.7495260878468106
biomass_boiler,power,CZ,5,2.649084430942574
biomass_boiler,power,CZ,6,1.9834894230334035
biomass_boiler,power,CZ,7,1.6505070652661626
biomass_boiler,power,CZ,8,0.6861870472214884
biomass_boiler,power,CZ,9,0.27482846655186605
biomass_boiler,power,CZ,10,0.2748284731623907
biomass_boiler,power,CZ,11,0.2748284814671811
biomass_boiler,power,CZ,12,0.27482849281370114
biomass_boiler,power,CZ,13,0.27482851172373096
biomass_boiler,power,CZ,14,0.27482856766028374
biomass_boiler,power,DE,0,23.157494394269982
biomass_boiler,power,DE,1,22.189219530541394
biomass_boiler,power,DE,2,15.854373470830842
biomass_boiler,power,DE,3,14.609680084155965
biomass_boiler,power,DE,4,11.332771320561926
biomass_boiler,power,DE,5,8.650569665272965
biomass_boiler,power,DE,6,8.6505696676939
biomass_boiler,power,DE,7,4.591445463033273
biomass_boiler,power,DE,8,1.5124926468479392
biomass_boiler,power,DE,9,0.52023130976738
biomass_boiler,power,DE,10,0.5202313149168521
biomass_boiler,power,DE,11,0.5202313233897842
biomass_boiler,power,DE,12,0.5202313358140338
biomass_boiler,power,DE,13,0.5202313578145079
biomass_boiler,power,DE,14,0.5202314126593627
biomass_boiler,power,DK,0,3.011171775675737
biomass_boiler,power,DK,1,2.4997893257850485
biomass_boiler,power,DK,2,1.6277399852042274
biomass_boiler,power,DK,3,1.5927495169933943
biomass_boiler,power,DK,4,1.516558890108477
biomass_boiler,power,DK,5,1.3136102929272995
biomass_boiler,power,DK,6,0.8160834335039098
biomass_boiler,power,DK,7,0.5650399007143287
biomass_boiler,power,DK,8,0.5103953700150378
biomass_boiler,power,DK,9,0.09766946121522274
biomass_boiler,power,DK,10,0.09766946420774957
biomass_boiler,power,DK,11,0.09766946846184275
biomass_boiler,power,DK,12,0.09766947503605243
biomass_boiler,power,DK,13,0.09766948716142765
biomass_boiler,power,DK,14,0.09766952738183408
biomass_boiler,power,EE,0,1.202508789908323
biomass_boiler,power,EE,1,1.2025087910050485
biomass_boiler,power,EE,2,0.9658871132308826
biomass_boiler,power,EE,3,0.8736761311783121
biomass_boiler,power,EE,4,0.8736761328176157
biomass_boiler,power,EE,5,0.7993274189692716
biomass_boiler,power,EE,6,0.27363415179154305
biomass_boiler,power,EE,7,0.10412023737922661
biomass_boiler,power,EE,8,0.0971113186300923
biomass_boiler,power,EE,9,2.7443087525857556e-08
biomass_boiler,power,EE,10,3.5073586137927914e-08
biomass_boiler,power,EE,11,4.404384150533165e-08
biomass_boiler,power,EE,12,5.622390909185591e-08
biomass_boiler,power,EE,13,7.624760591537542e-08
biomass_boiler,power,EE,14,1.4487055684536083e-07
biomass_boiler,power,EL,0,3.320676165082873
biomass_boiler,power,EL,1,3.3206761662502
biomass_boiler,power,EL,2,3.3206761676066816
biomass_boiler,power,EL,3,3.3206761691623417
biomass_boiler,power,EL,4,2.6065127907769394
biomass_boiler,power,EL,5,0.2686113473363566
biomass_boiler,power,EL,6,0.26861135024751204
biomass_boiler,power,EL,7,0.2686113543397142
biomass_boiler,power,EL,8,2.250701171660595e-08
biomass_boiler,power,EL,9,2.9280412358945485e-08
biomass_boiler,power,EL,10,3.597828894353463e-08
biomass_boiler,power,EL,11,4.422943729549805e-08
biomass_boiler,power,EL,12,5.555503264748918e-08
biomass_boiler,power,EL,13,7.460430780266036e-08
biomass_boiler,power,EL,14,1.4030027607564303e-07
biomass_boiler,power,ES,0,4.149006672671774
biomass_boiler,power,ES,1,3.8553102695922683
biomass_boiler,power,ES,2,3.257026326816042
biomass_boiler,power,ES,3,1.7829531257363185
biomass_boiler,power,ES,4,1.1452964733356956
biomass_boiler,power,ES,5,0.560040872114761
biomass_boiler,power,ES,6,0.24459130839384208
biomass_boiler,power,ES,7,0.24459131218701613
biomass_boiler,power,ES,8,0.0326215835751255
biomass_boiler,power,ES,9,3.0801541744987834e-08
biomass_boiler,power,ES,10,3.913731886139951e-08
biomass_boiler,power,ES,11,4.883057580151038e-08
biomass_boiler,power,ES,12,6.144143819804992e-08
biomass_boiler,power,ES,13,8.201178896759311e-08
biomass_boiler,power,ES,14,1.471776488197999e-07
biomass_boiler,power,FI,0,2.8164873859116613
biomass_boiler,power,FI,1,2.264185688731762
biomass_boiler,power,FI,2,1.8824258877253142
biomass_boiler,power,FI,3,1.2207266755595518
biomass_boiler,power,FI,4,0.916090222021074
biomass_boiler,power,FI,5,0.6013869801082121
biomass_boiler,power,FI,6,0.575428505340528
biomass_boiler,power,FI,7,0.3760961529972053
biomass_boiler,power,FI,8,0.2751969677569999
biomass_boiler,power,FI,9,0.09047565484023957
biomass_boiler,power,FI,10,0.09047565783231497
biomass_boiler,power,FI,11,0.09047566208640778
biomass_boiler,power,FI,12,0.09047566866062078
biomass_boiler,power,FI,13,0.09047568078599473
biomass_boiler,power,FI,14,0.09047572100634746
biomass_boiler,power,FR,0,16.555643973751152
biomass_boiler,power,FR,1,14.683882114355791
biomass_boiler,power,FR,2,11.823421391253554
biomass_boiler,power,FR,3,9.86168785384257
biomass_boiler,power,FR,4,4.866549375634313
biomass_boiler,power,FR,5,2.140123275899193
biomass_boiler,power,FR,6,1.7022346774284745
biomass_boiler,power,FR,7,0.6919953628975781
biomass_boiler,power,FR,8,4.271103640189362e-08
biomass_boiler,power,FR,9,5.6208814183009235e-08
biomass_boiler,power,FR,10,6.854688592797097e-08
biomass_boiler,power,FR,11,8.316077732353192e-08
biomass_boiler,power,FR,12,1.0122590288715506e-07
biomass_boiler,power,FR,13,1.2925250142864858e-07
biomass_boiler,power,FR,14,2.067922058191013e-07
biomass_boiler,power,HR,0,3.1651050571589496
biomass_boiler,power,HR,1,2.9053012552690767
biomass_boiler,power,HR,2,2.641824251087942
